소재지전체주소,사업장명
서울특별시 종로구 숭인동 1081번지 ,짝 비어&포차
"서울특별시 종로구 내수동 73번지 경희궁의아침4단지 B133,B134 ",블랙 스완
서울특별시 종로구 명륜4가 60-1번지 ,오늘도 한잔
서울특별시 종로구 가회동 70-2번지 지층 ,떡가게 종춘 북촌점
서울특별시 종로구 관철동 13-8 2.3.4층 ,빙고 만선호프 종로본점 2
"서울특별시 종로구 종로1가 24번지 르메이에르종로타운 지상2층 213,214호 ",텍사스
서울특별시 종로구 관철동 13-13번지 종로코아빌딩 3층 ,스트라이크존 직영 종각점
서울특별시 종로구 숭인동 313-7번지 외1필지 ,대화치킨
서울특별시 종로구 관철동 43-8번지 ,아지트
서울특별시 종로구 통인동 46-41번지 1층 ,홉스치킨
서울특별시 종로구 관철동 13-9번지 3층 ,오렌지룸
서울특별시 종로구 효제동 123번지 1층 ,BHC 종로행복점
서울특별시 종로구 관철동 44-1 ,미친닭&취하루
서울특별시 종로구 낙원동 55-1 ,소행성
서울특별시 종로구 관철동 155번지 1층 102호,비어하우스
서울특별시 종로구 익선동 166-45번지 ,익동 정육점
서울특별시 종로구 숭인동 218번지 1층 ,한국통닭
서울특별시 종로구 종로5가 45-1번지 ,한국통닭
서울특별시 종로구 숭인동 65-12 지상1층 ,네네치킨
서울특별시 종로구 종로2가 102-1 2층 ,맘스터치
"서울특별시 종로구 체부동 195번지 1,2층 ",세종마을 치킨
서울특별시 종로구 내수동 74번지 광화문시대(102-1호) ,광화문 치킨뽀끼
서울특별시 종로구 명륜3가 53번지 지상1층 유림회관 14호,한잔더
서울특별시 종로구 숭인동 1410번지 ,황학동 그집
서울특별시 종로구 내자동 112-3 지상1층 101호 ,굽네치킨 (경복궁)점
서울특별시 종로구 내자동 11-1번지 2층 ,2층 계단집
서울특별시 종로구 관철동 13-9 1층 ,빙고 만선호프 종로본점
서울특별시 종로구 종로5가 182-8번지 2층 ,동원커피호프
서울특별시 종로구 명륜4가 53번지 지하 1층 ,히든스시
서울특별시 종로구 명륜4가 118-9번지 지층 ,크래프트 혜화
서울특별시 종로구 숭인동 1061번지 지상2층 ,필
서울특별시 종로구 명륜1가 10-20번지 1층 ,마미스치킨
서울특별시 종로구 평창동 182-2번지 지하1층 ,다라치호프
서울특별시 종로구 혜화동 185번지 중원빌딩 505-1호 ,칼리버
서울특별시 종로구 창성동 109-2번지 지상1층 ,압셍트
서울특별시 종로구 낙원동 141번지 ,스파이스치킨
서울특별시 종로구 창신동 630-1번지 지하1층 ,서린
서울특별시 종로구 관철동 19-7번지 지상1층 ,종로실내포차
서울특별시 종로구 종로1가 24번지 르메이에르 지하1층 123호 ,더치킨
서울특별시 종로구 숭인동 266번지 ,호프마당
서울특별시 종로구 돈의동 102번지 (지상2층) ,메모리(memory)
서울특별시 종로구 돈의동 137번지 지상9층 ,제우스
서울특별시 종로구 청진동 191-1번지 (지상1층) ,광장가든
서울특별시 종로구 숭인동 1388번지 1층 (109호) ,호프마당
서울특별시 종로구 충신동 188-14번지 (지상1층) ,스카이
서울특별시 종로구 무악동 63-4번지 1층 7호 ,싱글
서울특별시 종로구 창신동 580-1번지 지상1층 ,대양통닭
서울특별시 종로구 숭인동 81-22번지 지상2층 ,지상
서울특별시 종로구 창신동 583-20번지 (지상1층) ,봉남이네 호프
서울특별시 종로구 공평동 130-1번지 ,열차집
서울특별시 종로구 관철동 37-2 지상1층 ,1988 옛날통닭
서울특별시 종로구 숭인동 1236번지 지상1층 ,카오스
서울특별시 종로구 신문로1가 7-5 1층 ,치킨 골드스타 (광화문점)
서울특별시 종로구 팔판동 97-2번지 지상1.2층 ,치골뱅 비어뱅
서울특별시 종로구 숭인동 1198번지 (지상1층) ,엄지척 포차
서울특별시 종로구 명륜2가 202번지 ,야꼬닭
서울특별시 종로구 창신동 22-3 ,비비큐 성북스타 2호점
서울특별시 종로구 효제동 233-2번지 1층 ,꼬꼬순이
서울특별시 종로구 통인동 76-3번지 지하1층 ,미림
서울특별시 종로구 신문로1가 238번지 지하1층 37호 ,광화문 하루
서울특별시 종로구 낙원동 82-3번지 ,별난집
서울특별시 종로구 창신동 627-19번지 (지하1층) ,동해
"서울특별시 종로구 혜화동 178-1번지 2,3층 ",마나술루
서울특별시 종로구 관철동 43-6번지 ,이자카야나무(종각점)
서울특별시 종로구 명륜4가 164-1번지 ,마리오
"서울특별시 종로구 무악동 45-60번지 외2필지(45-61,45-424)지상1층 ",산타치킨
서울특별시 종로구 종로2가 40번지 1층 ,바른치킨 종로3가점
서울특별시 종로구 창신동 498번지 지상1층 ,동대문 한국통닭
서울특별시 종로구 명륜2가 168-1 1층 ,60계치킨 대학로점
서울특별시 종로구 창신동 580-3번지 ,고기와 찌개마을
서울특별시 종로구 권농동 168번지 ,해랑
서울특별시 종로구 숭인동 1075번지 1층 ,치킨주막
서울특별시 종로구 관철동 19-12번지 ,홍스비어(HONG'S BEER)
서울특별시 종로구 창신동 643번지 지하1층 ,해랑
서울특별시 종로구 내수동 75번지 용비어천가 지상1층 105호 ,야들리애 치킨
서울특별시 종로구 관수동 149-1번지 지상1층 ,청계 커피 호프 광장
서울특별시 종로구 명륜1가 97-5번지 2층 ,봉달이치킨
서울특별시 종로구 충신동 2번지 지상1층 ,클립
서울특별시 종로구 통인동 141-2번지 지상1층 ,이화
서울특별시 종로구 창신동 633-24번지 (1층) ,동해
서울특별시 종로구 창신동 633-6번지 (지하1층) ,러쉬
서울특별시 종로구 부암동 258-3번지 (지상2층) ,계열사
서울특별시 종로구 명륜3가 134-2번지 지상1층 ,아시안 테이블
서울특별시 종로구 명륜1가 83-5번지 ,비에이치씨(BHC)
서울특별시 종로구 명륜4가 85-9번지 1층 ,꺽정이네장작구이
서울특별시 종로구 돈의동 93-6번지 ,007소주방
서울특별시 종로구 창신동 582-3번지 지상1층 ,부어치킨 창신점
서울특별시 종로구 종로5가 2-5 ,옛날통닭
서울특별시 종로구 동숭동 1-87번지 2층 ,샴
"서울특별시 종로구 낙원동 93번지 외1필지, 2층 1호",천년동안도
서울특별시 종로구 돈의동 166번지 1층 ,물방
서울특별시 종로구 평동 233번지 경희궁자이 3단지 ,생활맥주 서대문경희궁자이점
서울특별시 종로구 평동 43번지 경희궁자이 3단지 ,낭만치맥 서대문점
서울특별시 종로구 숭인동 183-9번지 ,돈치킨 숭인점
서울특별시 종로구 청진동 11-6번지 ,치어리더호프
서울특별시 종로구 명륜2가 222번지 ,달려라 봉쥬비어
서울특별시 종로구 동숭동 1-73번지 (지상2층) ,더 키친750
서울특별시 종로구 숭인동 1410번지 (지상1층) ,깜닭치킨(숭인점)
