소재지전체주소,사업장명
서울특별시 종로구 무악동 45-379번지 (지상1층) ,쌀이라면
서울특별시 종로구 숭인동 200-8번지 3층 ,알로알로
서울특별시 종로구 창신동 263번지 지상3층 ,타워치킨 동묘점
서울특별시 종로구 창신동 580-7번지 ,고짱
서울특별시 종로구 효제동 65-2번지 ,단미
서울특별시 종로구 명륜1가 16-31번지 ,내내치킨
서울특별시 종로구 신문로1가 58-1번지 외3필지 ,하얀돌
서울특별시 종로구 신영동 44번지 지상1층 ,또래오래치킨
서울특별시 종로구 숭인동 226-2번지 지상1층 ,오아시스
"서울특별시 종로구 당주동 145번지 롯데미도파빌딩 지하52호,53호 ",미도호프식당
서울특별시 종로구 종로4가 5번지 (지하2층) ,오비호프
서울특별시 종로구 당주동 171번지 1층 ,오븐에 빠진닭
서울특별시 종로구 평창동 299-1번지 (지상1층) ,리더스
서울특별시 종로구 숭인동 682번지 ,대아
서울특별시 종로구 숭인동 189번지 (지하1층) ,샤론술통
서울특별시 종로구 혜화동 143-2번지 지상1층 ,치킨매니아 대학로점
서울특별시 종로구 평창동 151-2번지 지상1층 ,비엠
"서울특별시 종로구 익선동 148번지 지상1층, 1호 ",바모스
서울특별시 종로구 명륜4가 72-4번지 ,지짐이호프
서울특별시 종로구 창신동 266-2번지 ,못난이 닭강정
서울특별시 종로구 관철동 11-1번지 ,종로선술집
서울특별시 종로구 무악동 46-1419번지 지상1층 ,이타리아치킨
서울특별시 종로구 효제동 233-1번지 ,궁전카페
서울특별시 종로구 명륜1가 15-1번지 ,아벡데프리츠
서울특별시 종로구 낙원동 158번지 1층 ,도모
서울특별시 종로구 창신동 580-3번지 ,황제
서울특별시 종로구 관철동 14-8번지 ,레드컨테이너 카페 종로점
서울특별시 종로구 명륜2가 21-9 ,비비큐치킨
"서울특별시 종로구 체부동 30번지 (지상1층,30,31번지) ",도버메이드
서울특별시 종로구 관철동 19-1번지 4층 ,와바호프
서울특별시 종로구 숭인동 766번지 ,또바기치킨숭인동점
서울특별시 종로구 낙원동 55-1번지 ,브라더스
서울특별시 종로구 혜화동 190-1번지 지상1층 ,홈런포차
서울특별시 종로구 명륜4가 59-3번지 ,맥주하우스
서울특별시 종로구 명륜2가 142-2번지 ,라르고
서울특별시 종로구 충신동 35-9번지 지상1층 ,미림
서울특별시 종로구 충신동 27-17번지 (지상1층) ,보보스
서울특별시 종로구 동숭동 1-60번지 ,헤이판
서울특별시 종로구 관철동 11-5번지 ,(주)제너시스 비비큐 프리미엄 카페 종로관철점
서울특별시 종로구 창신동 464-8번지 ,라이브호프
서울특별시 종로구 관철동 42-4번지 지하1층 ,다트 팩토리
서울특별시 종로구 명륜2가 184번지 지하1층 ,달빛한모금
서울특별시 종로구 인사동 99번지 (지상1층) ,미리내
서울특별시 종로구 창신동 580-3번지 ,새벽닭
서울특별시 종로구 청진동 191-2번지 ,청진영양센타
서울특별시 종로구 창신동 20-10번지 ,카페이그니이트
서울특별시 종로구 내자동 1-2번지 1층 ,열정 골뱅이
서울특별시 종로구 종로5가 193-11번지 (지상2층) ,약속호프
서울특별시 종로구 창신동 498번지 (2층) ,이가우육면
서울특별시 종로구 명륜2가 211번지 지상4층 ,캠브리지
서울특별시 종로구 동숭동 1-83번지 ,더후라이팬
서울특별시 종로구 명륜4가 90번지 ,강정애퐁
서울특별시 종로구 원남동 225-6번지 지상1층 ,레인보우
서울특별시 종로구 혜화동 74-38번지 ,닭이네
서울특별시 종로구 평창동 596번지 ,에펠탑
서울특별시 종로구 숭인동 190-1번지 1층 ,대박주막골
서울특별시 종로구 명륜2가 150-2번지 지상2층 ,FRIENDS(프랜즈)
서울특별시 종로구 교북동 101번지 ,"건달요리(닭어사, 못말리는파닭)"
서울특별시 종로구 누상동 32-2번지 지상 1층 ,서촌봉닭
서울특별시 종로구 봉익동 12-8번지 ,미니커피숍
서울특별시 종로구 평창동 150-5번지 ,유케이 (U K)
"서울특별시 종로구 청진동 92번지 지하1층, 그랑서울 107호",피카 익스프레스
서울특별시 종로구 관철동 19-6번지 지상2층 ,라디오 시어터
서울특별시 종로구 청진동 209-1번지 양지빌딩 5층 ,종로농아
서울특별시 종로구 관철동 14-3번지 지상 4층 ,와타시
서울특별시 종로구 연건동 197-6번지 ,작은공간
서울특별시 종로구 동숭동 1-87번지 ,1번가 비어캐슬
서울특별시 종로구 명륜2가 161-10번지 지상1층 ,연지호프
서울특별시 종로구 돈의동 37번지 지하1층 ,팝콘
"서울특별시 종로구 명륜2가 33-2번지 지상1,2층 ",치킨뱅이
서울특별시 종로구 명륜2가 184번지 ,호프팅
서울특별시 종로구 소격동 144-6번지 ,천진포자
서울특별시 종로구 중학동 14번지 트윈트리 A동 B202호 ,에디스 비(eddys B)
서울특별시 종로구 봉익동 8-1번지 (지상1층) ,기와집칼국수
서울특별시 종로구 통의동 67-2번지 (2층) ,홍탁촌
서울특별시 종로구 창신동 583-19번지 (1층) ,썬더치킨
서울특별시 종로구 부암동 208-39번지 (1층) ,부암동주식(부암동酒食)
서울특별시 종로구 효제동 65-2번지 지상2층 ,만남의 광장
서울특별시 종로구 동숭동 1-96번지 4층 ,시즌2 상하이객잔
서울특별시 종로구 창신동 23-74번지 지상1층 ,OK치킨
서울특별시 종로구 교남동 47번지 (지상1층) ,명월
서울특별시 종로구 숭인동 56-42번지 중앙빌딩 1층 ,땡큐맘 치킨
